Date;Weight(kg);Waist(cm);Belly(cm);Thighs(cm);Biceps(cm);Body Fat(mm);BMI;BMI class;
05/07/2021;74;97;94;102;52.5;28;13;23.889462809917354;Recommended weight
06/07/2021;73.7;97;95;102;52;29;15;23.792613636363637;Recommended weight
